id,group,sex,age,hbs20__1,hbs20__2,hbs20__3,hbs20__4,hbs20__5,hbs20__6,hbs20__7,hbs20__8,hbs20__9,hbs20__10,hbs20__11,hbs20__12,hbs20__13,hbs20__14,hbs20__15,hbs20__16,hbs20__17,hbs20__18,hbs20__19,hbs20__20,pec5__1,pec5__2,pec5__3,pec5__4,pec5__5,be8__1,be8__2,be8__3,be8__4,be8__5,be8__6,be8__7,be8__8,est10__1,est10__2,est10__3,est10__4,est10__5,est10__6,est10__7,est10__8,est10__9,est10__10,cli13__1,cli13__2,cli13__3,cli13__4,cli13__5,cli13__6,cli13__7,cli13__8,cli13__9,cli13__10,cli13__11,cli13__12,cli13__13,sou13__1,sou13__2,sou13__3,sou13__4,sou13__5,sou13__6,sou13__7,sou13__8,sou13__9,sou13__10,sou13__11,sou13__12,sou13__13,mot16__1,mot16__2,mot16__3,mot16__4,mot16__5,mot16__6,mot16__7,mot16__8,mot16__9,mot16__10,mot16__11,mot16__12,mot16__13,mot16__14,mot16__15,mot16__16,sho_1,sho_2,sho_3,sho_4,temps,fin_1,fin_2,fin_3,hbs_sco,pec_sco,be_sco,est_sco,cli_sco,sou_sco,mot_sco
2assp215,contrôle,fille,15,4,3,5,1,3,1,5,5,5,5,3,3,2,3,3,5,5,3,5,3,4,3,4,5,5,4,1,5,7,1,1,7,7,4,4,2,4,4,4,4,4,4,3,3,2,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,3,5,5,4,3,3,6,7,3,7,5,7,1,7,4,2,1,7,1,1,1,2,5,5,3,4,temps 1,,,,3.6,4.2,4.125,3.7,4.38461538461539,4.23076923076923,3.875
2assp216,contrôle,fille,18,4,5,3,5,5,3,3,3,5,5,4,3,4,5,5,5,5,3,4,3,3,2,3,2,5,5,6,4,2,7,5,6,4,2,4,2,1,4,2,4,1,1,4,2,3,5,4,2,4,3,2,3,3,3,2,4,5,5,5,5,4,2,4,3,2,4,4,3,3,7,6,4,2,6,5,7,2,4,7,6,2,7,7,2,1,3,4,4,4,temps 1,,,,4.1,3,4.875,2.5,3.07692307692308,3.76923076923077,4.6875
2assp217,contrôle,fille,15,3,4,3,5,4,3,3,4,5,4,3,3,3,3,5,3,4,5,3,3,3,4,4,3,3,1,1,3,1,7,2,2,4,2,4,2,2,4,4,4,1,1,4,5,3,5,5,2,3,4,4,4,2,4,2,5,1,2,3,3,2,2,4,2,1,1,3,2,3,1,3,4,7,3,4,2,5,3,4,5,6,2,4,7,6,2,3,1,2,temps 1,,,,3.65,3.4,2.625,2.8,3.69230769230769,2.23076923076923,4.125
2assp218,contrôle,garçon,17,3,5,5,5,5,3,1,3,3,5,3,3,5,5,5,3,4,5,5,3,2,1,1,1,4,4,4,6,4,1,7,7,7,2,1,3,2,1,4,4,1,4,1,5,5,4,4,5,3,4,4,3,4,3,5,3,3,3,4,4,3,4,3,3,2,4,3,4,5,1,7,4,4,4,7,5,7,1,4,7,3,4,5,3,4,5,4,5,4,temps 1,,,,3.95,1.8,5,2.3,4,3.46153846153846,4.375
2assp219,contrôle,fille,15,3,5,2,1,3,4,1,5,4,3,1,3,5,3,5,2,5,5,5,2,1,3,1,1,1,5,6,4,5,4,1,5,4,2,3,3,2,3,2,3,4,4,4,1,4,1,1,3,1,1,3,1,2,2,3,1,2,2,1,2,1,4,4,3,1,3,3,2,1,4,4,1,4,2,4,7,4,4,4,4,4,2,2,6,4,2,2,2,2,temps 1,,,,3.35,1.4,4.25,3,1.84615384615385,2.23076923076923,3.75
2assp220,contrôle,fille,15,3,4,2,1,4,3,2,4,3,3,4,3,5,5,2,4,5,4,4,4,1,2,5,3,2,3,4,3,4,1,4,7,7,2,2,2,3,1,2,4,2,3,1,5,3,1,3,4,2,3,4,2,4,3,4,1,1,2,2,2,1,2,4,1,1,1,3,2,1,3,3,5,6,4,4,6,2,3,4,2,4,1,2,4,2,5,3,2,3,temps 1,,,,3.45,2.6,4.125,2.2,3,1.76923076923077,3.4375
2assp221,contrôle,fille,15,2,2,3,3,2,2,2,3,3,2,3,3,4,3,2,3,5,4,5,3,1,1,5,5,2,7,7,4,4,7,7,4,7,1,1,4,1,4,1,4,1,1,4,5,2,2,5,3,1,4,3,1,2,5,3,3,1,1,1,1,5,5,2,1,1,1,2,1,5,4,4,3,5,4,3,5,3,4,6,4,2,4,4,2,2,3,1,3,1,temps 1,,,,2.95,2.8,5.875,2.2,3,2.07692307692308,3.6875
2spvl00,expérimental,fille,17,5,4,5,2,4,5,5,4,4,3,4,5,5,5,5,3,5,3,5,4,1,3,4,5,5,1,1,1,1,1,7,6,1,3,3,3,2,3,2,4,4,4,4,4,1,2,5,1,2,5,1,2,1,3,1,2,2,4,4,5,3,5,1,5,3,3,3,3,1,1,4,7,4,1,1,1,7,1,1,1,7,1,1,7,7,1,1,1,2,temps 1,,,,4.25,3.6,2.375,3.2,2.30769230769231,3.23076923076923,3.25
2spvl05,expérimental,garçon,15,1,3,2,1,5,5,5,2,3,5,5,5,5,4,3,5,5,3,5,3,2,2,5,5,1,3,1,4,7,7,1,1,4,2,2,3,2,3,4,3,2,3,2,5,3,4,5,5,4,4,3,4,5,3,3,3,4,5,5,5,4,1,3,3,1,5,5,5,5,1,4,4,7,4,1,4,5,4,3,5,7,1,3,5,3,5,3,3,3,temps 1,,,,3.75,3,3.5,2.6,3.92307692307692,3.92307692307692,3.8125
2spvl06,expérimental,garçon,16,4,5,4,1,5,2,5,3,3,4,2,4,5,5,3,2,5,5,2,1,2,1,1,2,4,4,3,4,4,3,4,7,7,3,2,4,2,3,2,4,4,4,3,5,1,3,5,5,3,5,4,2,5,5,5,3,3,5,4,3,4,1,4,5,5,5,2,3,3,1,7,6,7,7,6,2,7,1,6,7,5,4,7,6,7,4,1,4,2,temps 1,,,,3.5,2,4.5,3.1,3.92307692307692,3.61538461538462,5.375
2spvl08,expérimental,fille,17,5,5,5,4,4,5,1,4,4,4,4,4,3,4,3,3,3,4,4,4,4,3,3,3,1,7,6,7,7,5,6,7,7,4,4,4,4,2,4,2,3,3,3,4,2,2,4,3,5,4,3,5,3,4,3,3,4,5,4,5,4,3,3,4,2,4,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7,6,7,2,7,2,2,4,4,temps 1,,,,3.85,2.8,6.5,3.3,3.46153846153846,3.84615384615385,6.5625
2spvl09,expérimental,garçon,16,5,4,5,1,3,1,5,4,4,3,3,4,2,5,3,2,4,3,1,2,3,4,2,5,5,6,5,7,5,4,5,7,7,3,2,2,3,4,2,4,2,3,4,5,5,4,4,5,4,5,5,4,5,3,5,4,5,5,4,4,4,2,5,5,3,4,4,4,5,6,7,6,3,6,7,5,2,5,6,6,3,5,7,4,7,7,5,5,3,temps 1,,,,3.2,3.8,5.75,2.9,4.46153846153846,4.15384615384615,5.3125
2spvl10,expérimental,fille,16,5,4,5,4,5,4,4,4,4,5,5,5,4,5,5,5,5,5,4,4,1,2,1,2,1,3,1,4,4,2,4,4,1,3,2,2,2,3,2,3,2,2,3,2,2,2,4,4,2,3,4,1,3,4,3,3,1,1,1,1,1,3,4,1,1,1,1,1,1,4,6,6,7,6,6,6,7,1,6,6,2,6,6,2,2,5,1,4,3,temps 1,,,,4.55,1.4,2.875,2.4,2.84615384615385,1.38461538461538,4.9375
2spvl11,expérimental,garçon,16,5,5,4,4,4,5,5,4,4,3,5,5,5,5,5,4,5,4,5,5,1,2,2,3,3,7,7,6,2,2,7,6,1,4,2,2,3,2,3,1,3,3,1,5,5,4,4,4,4,5,4,5,4,4,4,5,5,4,5,5,4,2,5,5,2,5,5,4,4,5,5,5,3,6,6,6,7,1,2,2,6,4,3,2,2,6,4,3,4,temps 1,,,,4.55,2.2,4.75,2.4,4.38461538461539,4.23076923076923,4.0625
2spvl12,expérimental,garçon,16,5,5,4,5,4,4,4,4,4,4,3,4,5,4,3,4,4,4,5,5,4,4,5,5,2,6,4,6,4,4,6,7,5,3,3,3,2,3,3,4,3,4,2,5,4,3,5,4,3,5,4,4,5,5,5,3,5,5,5,4,5,5,4,5,4,5,5,4,4,4,7,4,7,4,7,1,7,1,4,7,4,7,7,7,7,5,2,3,4,temps 1,,,,4.2,4,5.25,3,4.23076923076923,4.61538461538462,5.3125
2spvl13,expérimental,fille,16,3,3,4,1,3,3,5,2,3,3,4,4,5,3,5,5,5,5,3,3,2,1,5,5,5,4,1,3,1,1,1,5,1,1,2,2,3,4,4,4,4,4,4,5,5,5,5,1,3,5,2,3,1,3,1,5,4,5,5,3,1,4,1,1,3,1,1,1,1,1,1,7,4,7,7,7,7,1,7,7,7,1,7,1,7,1,5,1,5,temps 1,,,,3.6,3.6,2.125,3.2,3.38461538461538,2.38461538461538,4.9375
2spvl14,expérimental,fille,15,3,2,4,5,5,4,2,3,5,3,3,4,3,2,4,3,5,4,4,5,3,4,2,1,2,1,1,7,5,1,4,5,1,2,3,2,2,3,2,3,2,2,3,5,2,4,5,2,3,3,2,3,2,3,2,2,2,3,4,4,4,1,4,2,4,2,4,2,2,1,6,6,7,1,2,1,1,3,1,1,4,3,3,4,1,2,1,3,1,temps 1,,,,3.65,2.4,3.125,2.4,2.92307692307692,2.92307692307692,2.8125
2spvl15,expérimental,garçon,15,4,3,5,2,1,3,4,1,1,3,2,3,2,4,1,2,4,4,5,5,3,2,5,5,2,3,1,5,7,1,4,6,7,2,1,4,3,4,4,3,3,3,4,4,3,2,5,4,1,3,3,1,2,2,4,2,3,5,5,5,2,2,3,4,5,4,3,3,4,4,1,7,7,1,7,7,7,1,4,4,7,1,7,4,7,5,3,2,2,temps 1,,,,2.95,3.4,4.25,3.1,2.76923076923077,3.69230769230769,4.75
2spvl17,expérimental,garçon,15,5,1,3,1,5,2,2,2,5,2,4,5,1,5,5,5,3,5,5,4,2,1,1,1,5,4,2,7,7,1,6,5,7,1,4,4,3,1,1,1,1,1,2,5,1,1,5,1,1,5,1,1,3,5,1,1,5,5,5,5,5,5,4,5,1,4,5,5,5,7,7,7,4,1,7,7,1,1,1,7,1,7,7,1,1,2,1,1,1,temps 1,,,,3.5,2,4.875,1.9,2.38461538461538,4.53846153846154,4.1875
2spvl18,expérimental,fille,17,5,5,5,5,4,5,2,4,5,4,4,5,5,5,5,5,5,5,5,4,4,4,4,1,2,6,4,6,7,6,5,7,7,4,4,3,3,4,3,3,2,2,3,5,1,5,5,5,4,4,5,5,5,4,4,5,5,5,5,5,5,3,2,4,5,5,5,5,4,4,7,7,7,5,7,7,4,6,6,7,4,5,7,1,7,4,3,3,2,temps 1,,,,4.6,3,6,3.1,4.38461538461539,4.46153846153846,5.6875
2spvl19,expérimental,fille,16,4,3,5,2,4,4,3,3,1,3,3,4,5,5,1,2,5,5,5,4,3,4,2,2,5,4,4,6,7,1,4,5,7,3,2,3,2,3,2,4,2,4,4,5,2,3,5,4,2,4,3,2,3,2,3,2,5,5,5,5,4,2,4,3,5,4,3,3,3,4,7,7,7,4,7,1,7,7,7,7,1,7,7,4,7,4,3,4,2,temps 1,,,,3.55,3.2,4.75,2.9,3.07692307692308,3.92307692307692,5.6875
2spvl21,expérimental,fille,16,1,2,4,3,5,4,1,1,5,4,5,5,5,4,5,5,5,5,4,5,1,2,4,1,5,6,5,4,1,1,2,2,4,2,3,1,2,3,3,3,3,4,4,5,5,5,5,3,3,5,5,3,3,4,4,5,4,5,4,5,4,2,5,4,2,3,5,4,5,1,1,1,7,1,2,2,6,2,2,2,5,3,3,5,5,7,5,3,3,temps 1,,,,3.9,2.6,3.125,2.8,4.23076923076923,4,3
2spvl22,expérimental,garçon,16,3,4,2,1,2,4,5,4,2,5,4,3,3,3,5,3,5,5,2,4,3,4,5,5,5,2,2,3,7,4,4,5,7,3,4,2,3,4,4,4,4,4,3,5,3,4,5,5,4,4,5,4,3,4,3,5,4,5,4,5,4,4,3,5,5,4,4,3,4,1,6,6,7,5,7,1,4,1,2,6,1,1,5,3,4,5,4,3,1,temps 1,,,,3.45,4.4,4.25,3.5,4.15384615384615,4.15384615384615,3.75
