Num;Subj;sexe;age;category;tps;WB_score_mean
144;s31;f;12;1;t1;3.827327327
145;s32;m;12;1;t1;4.2
146;s33;m;11;1;t1;4.1
147;s34;f;11;1;t1;5.033333333
148;s35;f;11;1;t1;4.133333333
149;s36;m;10;2;t1;4.933333333
150;s37;m;11;2;t1;5.533333333
151;s38;m;10;2;t1;3.5
152;s39;m;10;2;t1;5.766666667
153;s40;m;11;2;t1;3.7
154;s41;m;11;2;t1;5.433333333
155;s42;m;10;2;t1;4.3
156;s43;f;11;2;t1;4.733333333
157;s44;m;10;2;t1;3.633333333
158;s45;f;10;2;t1;4.233333333
159;s46;m;10;2;t1;3.966666667
160;s47;m;11;2;t1;4.466666667
161;s48;m;11;2;t1;4.766666667
162;s49;f;11;2;t1;4.366666667
163;s50;m;10;2;t1;4.733333333
164;s51;m;11;2;t1;5
165;s52;f;11;2;t1;3.7
166;s53;m;10;2;t1;4.7
167;s54;m;11;2;t1;4.6
168;s55;f;12;2;t1;4.8
169;s56;m;11;2;t1;5.333333333
170;s57;m;11;2;t1;4.733333333
171;s58;m;11;2;t1;5.586666667
172;s59;m;11;2;t1;4.1
173;s60;m;11;2;t1;4.066666667
174;s61;f;11;2;t1;5.493993994
175;s62;m;11;2;t1;5.033333333
176;s63;m;11;2;t1;4.733333333
177;s64;m;11;2;t1;4.233333333
178;s65;f;11;2;t1;5.066666667
179;s66;f;12;2;t1;5.833333333
180;s67;f;12;2;t1;4.466666667
181;s68;m;11;2;t1;5.8
182;s69;m;12;2;t1;3.266666667
183;s70;f;12;2;t1;5.236369096
184;s71;f;12;2;t1;5.4
185;s72;m;12;2;t1;4.583636364
186;s73;f;13;2;t1;4.2
187;s74;m;12;2;t1;5.266666667
188;s75;m;12;2;t1;5.5
189;s76;f;11;2;t1;5.8
190;s77;f;12;2;t1;5.336369096
191;s78;f;11;3;t1;5.366666667
192;s79;m;11;3;t1;4.666666667
193;s80;m;12;3;t1;4.166666667
194;s81;f;12;3;t1;5.533333333
195;s82;f;12;3;t1;5.433333333
196;s83;m;11;3;t1;5.566666667
197;s84;f;11;3;t1;3.766666667
198;s85;m;12;3;t1;5.1
199;s86;m;12;3;t1;4.3
200;s87;f;12;3;t1;4.833333333
201;s88;m;12;3;t1;4.8
202;s89;f;12;3;t1;5.266666667
203;s90;m;11;3;t1;4.933333333
204;s91;m;11;3;t1;4.5
205;s92;m;12;3;t1;5.566666667
206;s93;f;10;3;t1;5.466666667
207;s94;f;11;3;t1;4.766666667
208;s95;f;11;3;t1;5.066666667
209;s96;f;10;3;t1;5
210;s97;m;11;3;t1;5.8
211;s98;m;11;3;t1;4.9
212;s99;f;11;3;t1;4.8
213;s100;m;11;3;t1;4.6
214;s101;f;10;3;t1;5.433333333
215;s102;m;10;3;t1;5.8
216;s103;m;10;3;t1;5.366666667
